Box size: max: 28.688099 min: 3.311927 in Ang
Timestep: 0.5
T: 673
Chunk 1 of size 2ps
Start time: 2.0ps
Lag    Lag (in ps)     Auto-correlation     Integral(acf)        Viscosity(in Pa s)
282      0.141          237906.84081005518    239252750.1199343    0.00086397206315452
284      0.142          -256922.23446349736    239243242.42310756    0.0008639377296539055
286      0.143          -692618.7157720979    238768471.9479898    0.0008622232731776196
288      0.144          -1030388.6884728478    237906968.2458673    0.0008591122739077476
290      0.145          -1240832.5514385782    236771357.6259116    0.0008550114397490116
292      0.146          -1306021.4044313994    235497930.6479766    0.0008504129332204489
294      0.147          -1222446.132226503    234233696.87964764    0.0008458476245392101
296      0.148          -1001125.8473286199    233121910.8898701    0.0008418328241455139
298      0.149          -665266.4290039927    232288714.7517038    0.0008388240470838372
300      0.15          -247468.1229789347    231832347.47571233    0.0008371760468966004
302      0.151          212113.19968932262    231814670.01406753    0.0008371122113377577
304      0.152          670557.9881268188    232256005.60797557    0.0008387059302121326
306      0.153          1087840.4512088725    233135204.82764342    0.0008418808302429975
308      0.154          1428712.6801871748    234393481.39334145    0.0008464246267090366
310      0.155          1664573.3009520594    235940124.38391107    0.0008520097509546558
312      0.156          1776420.8780995985    237660621.4734369    0.0008582226844291668
314      0.157          1756336.4909764216    239427000.1579749    0.0008646013021697257
316      0.158          1607988.382314313    241109162.5946203    0.0008706758043446056
318      0.159          1346951.035854231    242586632.30370456    0.0008760111350865341
320      0.16          998915.5037789885    243759565.5735211    0.000880246746073484
322      0.161          598119.1735851819    244558082.9122032    0.0008831302935863967
324      0.162          184222.51552220574    244949253.7567569    0.0008845428611804809
326      0.163          -201635.4556287904    244940547.28670362    0.0008845114210114925
328      0.164          -520473.668375347    244579492.72470152    0.0008832076071381392
330      0.165          -740790.315894291    243948860.7325667    0.0008809303149312039
332      0.166          -841433.4296450849    243157748.85979703    0.0008780735094961139
334      0.167          -812407.8190070683    242330828.23547095    0.0008750873941118355
336      0.168          -655464.2213171547    241596892.21530885    0.0008724370579412168
338      0.169          -385411.413444674    241076454.39792794    0.0008705576908927678
340      0.17          -29221.441704872785    240869137.97035316    0.0008698090449458859
342      0.171          377694.1462560252    241043374.32262874    0.0008704382345400561
344      0.172          796720.7242850935    241630581.75789928    0.0008725587151577128
346      0.173          1190214.5031300222    242624049.37160686    0.0008761462528702859
348      0.174          1524116.868390157    243981215.05736694    0.0008810471505067013
350      0.175          1770544.5959558014    245628545.78953993    0.0008869958709734876
352      0.176          1910201.2686326245    247468918.72183415    0.0008936416913391507
354      0.177          1933665.0007880973    249390851.8565445    0.0009005820359529884
356      0.178          1841356.0275110155    251278362.37069407    0.0009073980761126864
358      0.179          1643510.707294797    253020795.73809695    0.0009136902242722778
360      0.18          1359689.4265851055    254522395.8050369    0.0009191126928007136
362      0.181          1016620.5094646685    255710550.7730618    0.0009234032712728826
364      0.182          644742.7528432406    256541232.40421575    0.0009264029681304227
366      0.183          274330.31626221776    257000768.9387685    0.0009280624129127853
368      0.184          -66300.58587900073    257104783.80396008    0.0009284380237997375
370      0.185          -352137.56442323286    256895564.728809    0.0009276825071508424
372      0.186          -563469.4219935255    256437761.2356006    0.0009260293206008515
374      0.187          -689107.5100568451    255811472.76957542    0.0009237677134182782
376      0.188          -727617.6402620152    255103110.194416    0.0009212097262051108
378      0.189          -686190.8528426322    254396205.94786367    0.0009186570052017352
380      0.19          -578377.3639764225    253763921.83945414    0.0009163737469931313
382      0.191          -422945.0058524325    253263260.6545397    0.0009145657958759338
384      0.192          -241739.53486709466    252930918.38417995    0.0009133656657338467
386      0.193          -57573.21059910043    252781262.01144683    0.0009128252375671919
388      0.194          108426.76785206357    252806688.79007334    0.0009129170568937337
390      0.195          239660.7111912422    252980732.52959496    0.0009135455509387898
392      0.196          325447.01186151564    253263286.39112136    0.0009145658888139985
394      0.197          361834.0537044851    253606926.92390436    0.0009158068184164512
396      0.198          350503.5896263659    253963095.74556977    0.0009170929892610134
398      0.199          298694.1124415584    254287694.59660375    0.000918265156932586
400      0.2          218155.17741999953    254546119.24153453    0.0009191983611425224
402      0.201          122800.3709883756    254716597.0157387    0.0009198139780339786
404      0.202          26279.16524113382    254791136.78385347    0.0009200831506023728
406      0.203          -58610.5695451273    254774971.08170146    0.0009200247741990355
408      0.204          -121307.73087850561    254685011.93148965    0.0009196999202837966
410      0.205          -155923.76645652822    254546396.18282214    0.0009191993612126805
412      0.206          -161143.0135411068    254387862.7928233    0.0009186268770093955
414      0.207          -139547.32392780445    254237517.62408885    0.0009180839615129102
416      0.208          -97663.0882309878    254118912.4180095    0.0009176556630521992
418      0.209          -43955.84503526402    254048102.95137638    0.0009173999610761625
420      0.21          12089.190023301202    254032169.6238704    0.0009173424238071808
422      0.211          60828.95104076643    254068628.69440243    0.0009174740821407734
424      0.212          94152.01039946552    254146119.17512256    0.0009177539101070938
426      0.213          108406.04409203034    254247398.2023683    0.0009181196415358022
428      0.214          105021.97732034334    254354112.21307448    0.0009185049993799695
430      0.215          87834.42932168847    254450540.4163955    0.0009188532138674845
432      0.216          61445.94993119988    254525180.60602194    0.0009191227490707097
434      0.217          31630.799871363448    254571718.9809232    0.0009192908050523408
436      0.218          3917.109763699573    254589492.93574074    0.0009193549890602838
438      0.219          -17105.23379675668    254582898.87372422    0.0009193311770649687
440      0.22          -25435.748736841502    254561628.38245744    0.0009192543666198856
442      0.221          -14980.987563476536    254541420.01430726    0.0009191813916362547
444      0.222          16998.20092363107    254542428.62098733    0.0009191850338430583
446      0.223          70932.96911286718    254586394.20600557    0.0009193437991537057
448      0.224          146759.35385290612    254695240.36748847    0.0009197368564650872
450      0.225          242557.3247592215    254889898.70679453    0.0009204397924477925
452      0.226          353989.81774555123    255188172.27804694    0.0009215168961910525
454      0.227          474304.87304363155    255602319.62344152    0.0009230124348474363
456      0.228          594343.1093886084    256136643.61465764    0.0009249419466329959
458      0.229          703712.564672057    256785671.451688    0.0009272856685719192
460      0.23          793038.0056099151    257534046.73682895    0.0009299881467620048
462      0.231          856148.3589054433    258358639.91908664    0.0009329658574574143
464      0.232          890087.3687290404    259231757.78290388    0.0009361187969400374
466      0.233          894205.0026507076    260123903.96859375    0.0009393404501093302
468      0.234          870739.2645606131    261006376.1021994    0.0009425271690480485
470      0.235          825619.2293115426    261854555.3491355    0.0009455900520181831
472      0.236          767742.6796571852    262651236.30361986    0.0009484669681145571
474      0.237          707994.28983573    263389104.78836632    0.0009511315049141699
476      0.238          656322.436287426    264071263.1514279    0.0009535948653898048
478      0.239          621398.452647852    264710123.59589553    0.0009559018715830369
480      0.24          610579.9025947481    265326112.77351683    0.0009581262867272873
482      0.241          628436.4783412142    265945620.96398482    0.000960363409473803
484      0.242          675758.8845277055    266597718.6454193    0.0009627182170107062
486      0.243          751088.1056975075    267311142.1405319    0.0009652944798485058
488      0.244          852306.7474798288    268112839.56712055    0.0009681895110626852
490      0.245          976539.7339787539    269027262.8078499    0.0009714916095066668
492      0.246          1117871.6983307772    270074468.52400464    0.0009752732023313255
494      0.247          1266034.435067035    271266421.59070355    0.0009795774962201229
496      0.248          1408297.176402954    272603587.39643854    0.0009844061717500026
498      0.249          1532662.134912427    274074067.0520962    0.0009897162605213476
500      0.25          1629680.040755724    275655238.1399303    0.0009954260701108783
502      0.251          1692441.2083233898    277316298.76446986    0.0010014243709625455
504      0.252          1714996.9886836587    279020017.86297333    0.0010075767169808543
506      0.253          1692893.1833431367    280723962.94898677    0.0010137298790687595
508      0.254          1624195.1381739    282382507.10974526    0.0010197190926501502
510      0.255          1510978.508993444    283950093.933329    0.0010253798477364202
512      0.256          1361162.4221355005    285386164.39889336    0.0010305656805527491
514      0.257          1187109.5115253245    286660300.3657238    0.0010351667473302473
516      0.258          1002087.5829267406    287754898.91294986    0.0010391194816862736
518      0.259          818948.9188274984    288665417.16382694    0.0010424074787160078
520      0.26          650484.8249965602    289400134.035739    0.0010450606346414553
522      0.261          508644.24563758203    289979698.57105607    0.0010471535157768157
524      0.262          403520.3809667895    290435780.8843582    0.001048800486927594
526      0.263          342009.3672239374    290808545.7584536    0.0010501465882249972
528      0.264          327886.40316025185    291143493.6436457    0.0010513561275731283
530      0.265          362497.8037529449    291488685.7471023    0.001052602660094316
532      0.266          445676.8488572068    291892773.0734074    0.0010540618707442558
534      0.267          575573.0758256755    292403398.03574884    0.0010559058023270325
536      0.268          746185.1369501759    293064277.14213675    0.001058292320704587
538      0.269          946827.4242189114    293910783.42272127    0.0010613491623807777
540      0.27          1164115.0366749025    294966254.6531682    0.0010651606030271752
542      0.271          1383709.3956359688    296240166.8693236    0.001069760861812572
544      0.272          1590744.7021617552    297727393.91822255    0.0010751314275476462
546      0.273          1770224.3221912924    299407878.43039906    0.001081199870524191
548      0.274          1908428.6584572352    301247204.9207233    0.001087841912055014
550      0.275          1993812.894199072    303198325.69705147    0.0010948876569492434
552      0.276          2018335.1615854066    305204399.7249437    0.00110213184501333
554      0.277          1977887.8323720207    307202511.2219224    0.0011093472793671341
556      0.278          1872397.5468239328    309127653.91152036    0.0011162992140912491
558      0.279          1705879.2005861767    310916792.28522545    0.0011227600199596208
560      0.28          1487028.4287003984    312513246.0998687    0.0011285250174163973
562      0.281          1229237.962934979    313871379.2956864    0.0011334294088544941
564      0.282          949973.4029038458    314960984.97860587    0.0011373641133434703
566      0.283          670074.0471245131    315771008.70362    0.0011402892118786124
568      0.284          412447.8546212184    316312269.65449286    0.0011422437739064101
570      0.285          199928.56893869763    316618457.8662728    0.0011433494584216874
572      0.286          52562.76218654727    316744703.53183544    0.001143805347551847
574      0.287          -13373.310629190059    316764298.25761414    0.0011438761065949488
576      0.288          12862.1522918394    316764042.67844546    0.001143875183666115
578      0.289          133413.437416053    316837180.4732994    0.0011441392935310289
580      0.29          340741.402531524    317074257.89327323    0.0011449954102007833
582      0.291          618675.2499964908    317553966.2195372    0.001146727697884611
584      0.292          944525.570919117    318335566.629995    0.0011495501562214412
586      0.293          1292383.2879025936    319454021.05940586    0.001153589037197472
588      0.294          1634287.694919522    320917356.5508169    0.0011588733274844921
590      0.295          1941797.3946457268    322705399.09559953    0.0011653301761754664
592      0.296          2188085.8776727743    324770340.7317588    0.001172786942648545
594      0.297          2349009.268050737    327038888.30462056    0.0011809789560147744
596      0.298          2406548.9460572028    329416667.4116745    0.0011895654183221762
598      0.299          2351753.777916161    331795818.7736612    0.0011981568360164016
600      0.3          2185885.641638663    334064638.4834386    0.0012063498321035918
602      0.301          1921427.261596714    336118294.9350563    0.0012137658463421963
604      0.302          1579930.7182092431    337868973.9249593    0.0012200877704917391
606      0.303          1189677.1082334868    339253777.83818066    0.0012250884732772685
608      0.304          784205.3079022858    340240719.0462485    0.001228652443310295
610      0.305          399203.6363943229    340832423.5183968    0.0012307891632991914
612      0.306          70121.39722213912    341067086.035205    0.0012316365594469481
614      0.307          -171040.40360624625    341016626.532013    0.0012314543437731188
616      0.308          -299140.7608150013    340781535.94980234    0.0012306054018268345
618      0.309          -299009.0529399085    340482461.0429249    0.0012295254043588717
620      0.31          -168060.81900550151    340248926.1069522    0.0012286820800487025
622      0.311          82088.9187542344    340205940.15682656    0.0012285268523240553
624      0.312          428994.069796437    340461481.6511019    0.0012294496451108463
626      0.313          842705.2467131041    341097331.3093567    0.0012317457789727273
628      0.314          1287582.473353953    342162475.1693902    0.0012355921487128797
630      0.315          1724405.3038802631    343668469.0580073    0.0012410304838893587
632      0.316          2112159.710292273    345586751.5650936    0.0012479576456232563
634      0.317          2412564.4387308965    347849113.63960516    0.0012561273223694526
636      0.318          2595659.736935112    350353225.72743815    0.0012651699891133485
638      0.319          2642359.2062176503    352972235.19901454    0.001274627564900648
640      0.32          2545026.9232527763    355565928.2637497    0.0012839937199279384
642      0.321          2308331.972793472    357992607.71177286    0.0012927567675763863
644      0.322          1950935.8116378912    360122241.6039885    0.0013004471460012906
646      0.323          1504766.5103124029    361850092.7649637    0.0013066866359616916
648      0.324          1010581.9023456563    363107766.97129273    0.0013112282572315564
650      0.325          511595.2778407069    363868855.56138587    0.0013139766447802742
652      0.326          49758.92165094902    364149532.66113174    0.0013149902054303652
654      0.327          -335631.536407252    364006596.35375357    0.0013144740442730819
656      0.328          -611668.652728067    363532946.2591859    0.001312763633633238
658      0.329          -756047.2380941428    362849088.3137748    0.0013102941357499107
660      0.33          -758907.309584145    362091611.03993565    0.0013075587891227835
662      0.331          -622294.2751808125    361401010.24755317    0.0013050649419627748
664      0.332          -360068.12715608394    360909829.04638475    0.001303291224270738
666      0.333          2375.543028540141    360730982.754321    0.0013026453875985811
668      0.334          430670.5258812195    360947505.78877586    0.001303427279772045
670      0.335          886310.4186955685    361605996.26106423    0.0013058051724885356
672      0.336          1329316.7701975475    362713809.85551083    0.0013098056280582409
674      0.337          1721543.6113514202    364239240.0462853    0.0013153141501900073
676      0.338          2030284.9426592195    366115154.3232906    0.0013220883148647826
678      0.339          2230698.3429110777    368245645.9660758    0.0013297817907359183
680      0.34          2307256.059630156    370514623.16734636    0.0013379753555448897
682      0.341          2254719.9734499916    372795611.1838864    0.0013462122929330407
684      0.342          2078448.9327036785    374962195.63696325    0.00135403610452553
686      0.343          1793491.843951757    376898166.02529097    0.0013610271394447573
688      0.344          1423800.237149698    378506812.0658417    0.0013668361645775644
690      0.345          1001755.7240086792    379719590.04642093    0.001371215659874919
692      0.346          564569.1872178663    380502752.5020342    0.0013740437589551688
694      0.347          148942.65993099613    380859508.42560863    0.0013753320498992797
696      0.348          -213648.71783870528    380827155.3966547    0.001375215219003248
698      0.349          -498334.00591148157    380471164.03477967    0.0013739296889885239
700      0.35          -686775.278599662    379878609.3925241    0.0013717898989274082
702      0.351          -766965.4061916228    379151739.05012846    0.0013691650778164673
704      0.352          -734845.4518022492    378400833.62113154    0.0013664534629556177
706      0.353          -596801.8998714468    377735009.94529474    0.001364049089109877
708      0.354          -369354.74456366774    377251931.62307715    0.0013623046319427086
710      0.355          -77154.59456353127    377028676.95351356    0.0013614984309800234
712      0.356          250237.22155666526    377115218.2670101    0.0013618109426528557
714      0.357          582803.6542941215    377531738.7049355    0.0013633150508477248
716      0.358          892796.9296411343    378269538.9969031    0.0013659793413945535
718      0.359          1155233.2955652017    379293554.1095063    0.0013696771900048356
720      0.36          1348944.3810920704    380545642.94783497    0.0013741986418015707
722      0.361          1458151.2329393218    381949190.7548506    0.00137926703116786
724      0.362          1473861.3922291459    383415197.0674349    0.0013845609661293015
726      0.363          1395825.3904551591    384850040.45877707    0.0013897423678247893
728      0.364          1233592.4198989219    386164749.36395407    0.0013944899486349742
730      0.365          1004009.6526590997    387283550.40023303    0.0013985300812524208
732      0.366          727522.977699693    388149316.7154125    0.0014016564733593468
734      0.367          427371.3849550748    388726763.89673984    0.0014037417084605693
736      0.368          127303.4876755076    389004101.33305514    0.0014047432091619121
738      0.369          -150305.16091542266    388992600.49643517    0.0014047016781803976
740      0.37          -384738.9994589191    388725078.41624796    0.0014037356219764759
742      0.371          -557742.1107198978    388253837.8611586    0.0014020339124896735
744      0.372          -656628.5555425608    387646652.52802736    0.0013998412891458685
746      0.373          -675866.9988008247    386980404.7508557    0.0013974353838163516
748      0.374          -616334.5817759495    386334303.96056724    0.0013951022318149158
750      0.375          -484993.55134273105    385783639.8940079    0.001393113713942282
752      0.376          -295268.04575696785    385393509.09545803    0.001391704902086392
754      0.377          -65672.59872755423    385213038.7732158    0.0013910532008350265
756      0.378          181856.9324083093    385271130.9400562    0.0013912629790265542
758      0.379          423654.8562594768    385573886.83439004    0.001392356269007667
760      0.38          636813.4751242024    386104121.0000819    0.0013942710119138955
762      0.381          800880.4773393818    386822967.9763137    0.0013968668596307393
764      0.382          900278.566837829    387673547.4984023    0.0013999384102992582
766      0.383          925918.3638884457    388586645.96376544    0.0014032357248111604
768      0.384          876627.0034491082    389487918.64743423    0.0014064903349236201
770      0.385          759773.2802055877    390306118.7892616    0.0014094449595381904
772      0.386          589621.5457691946    390980816.202249    0.0014118813775756485
774      0.387          385913.07308394037    391468583.5116756    0.001413642767271079
776      0.388          171750.5874919482    391747415.3419635    0.0014146496644188286
778      0.389          -28687.786762869313    391818946.74232805    0.001414907973389247
780      0.39          -192490.56478055054    391708357.56655633    0.0014145086218319246
782      0.391          -300942.64028485504    391461640.96402365    0.0014136176968498804
784      0.392          -341910.31157142477    391140214.4880955    0.001412456985027672
786      0.393          -309624.8066343556    390814446.9289926    0.0014112805970028495
788      0.394          -203031.62973962873    390558118.7108056    0.0014103549632561079
790      0.395          -26615.7012459828    390443295.0453128    0.0014099403204186692
792      0.396          207089.9877579217    390533532.1885688    0.0014102661782020923
794      0.397          476752.2024690997    390875453.2836823    0.0014115008986967706
796      0.398          754947.2511533299    391491303.0104935    0.0014137248102664374
798      0.399          1012724.254478556    392375138.7633095    0.0014169164534072885
800      0.4          1222851.944340249    393492926.8627188    0.0014209529281810672
802      0.401          1362327.5602962063    394785516.6150371    0.0014256206339213898
804      0.402          1414157.6725083303    396173759.23143935    0.001430633754300783
806      0.403          1369371.9616464511    397565524.04851675    0.0014356595937940948
808      0.404          1230479.9940096103    398865450.0263448    0.0014403537915763534
810      0.405          1011028.4377569777    399986204.24222803    0.0014444009773733834
812      0.406          732387.5327254743    400857912.22746927    0.0014475488256054292
814      0.407          421540.16155187564    401434876.07460797    0.0014496323153255187
816      0.408          107163.12381514932    401699227.7172915    0.0014505869226770038
818      0.409          -182540.1375439119    401661539.2104271    0.00145045082469269
820      0.41          -420993.28387920844    401359772.49971557    0.0014493611067792531
822      0.411          -586047.2860569448    400856252.2147474    0.0014475428310886875
824      0.412          -663981.1175269384    400231238.01295555    0.001445285825436078
826      0.413          -650245.7296021903    399574124.58939093    0.001442912905417399
828      0.414          -548968.6923755492    398974517.3784021    0.0014407476476349882
830      0.415          -372772.0459405885    398513647.009244    0.0014390833862064835
832      0.416          -139374.8975313296    398257573.5375081    0.0014381586723815265
834      0.417          129984.8511882463    398252878.5143365    0.0014381417180566378
836      0.418          411399.34130955534    398523570.61058545    0.0014391192215911157
838      0.419          678746.7590328419    399068643.6607566    0.0014410875495935742
840      0.42          905743.2508676159    399860888.6657069    0.0014439484469128637
842      0.421          1071256.7638382313    400849388.6730598    0.0014475180459680589
